Name,Program,Notes,Don't show on website,Start,End,Site,Estimated Cost,Total Service Hours,Total Prep Hours (entered in minutes),Num Participants,Map,Program Name,Description,Pictures,Age Group,Female,Male,Summary of Event,Staffed By,Num Caucasian,Num Hispanic,Num Asian,Num African American,Num Age: k-5,Num Age: 6-8,Num Age: 9-12,Num Age: Adult,Num Other/Prefer not to say,Address,Adults
Oct 25th Wed 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"October 25, 2017 6:00pm","October 25, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,4,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Oct 27th Fri 5:00 PM to 8:00 PM Intro to Physical Computing with Raspberry Pi,Intro to Physical Computing with Raspberry Pi,,,"October 27, 2017 5:00pm","October 27, 2017 8:00pm",CS Girls @ University of Houston,,3:00,,14,"https://maps.google.com/maps?hl=en&q=CS+Girls+@+University+of+Houston+4800+Calhoun+Rd,++Houston+TX+77004",Invent to Learn,Students will be introduced to physical computing concepts by programming physical objects such as a motor or lights on the Raspberry Pi.  We will use either the Python or Scratch Programming Language.,"highres_446867096.jpeg (https://dl.airtable.com/d1dFMvOuSMeoaitHYU8R_highres_446867096.jpeg), 921800_8ab2_2.jpg (https://dl.airtable.com/xYjvfEjsRZqmcz6JegLd_921800_8ab2_2.jpg)","6th-8th, 9th-12, adult",12,2,,,,,,,,,,14,,"4800 Calhoun Rd, 
Houston TX
77004",
Nov 1st Wed 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"November 1, 2017 6:00pm","November 1, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,5,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 2nd Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"November 2, 2017 6:00pm","November 2, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,2,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 7th Tue 5:00 PM to 6:00 PM Code Club,Code Club,,,"November 7, 2017 5:00pm","November 7, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,4,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 7th Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"November 7, 2017 6:00pm","November 7, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,5,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 9th Thu 5:00 PM to 6:00 PM Code Club,Code Club,,,"November 9, 2017 5:00pm","November 9, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,3,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 9th Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"November 9, 2017 6:00pm","November 9, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,5,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 14th Tue 5:00 PM to 6:00 PM Code Club,Code Club,,,"November 14, 2017 5:00pm","November 14, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,9,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 14th Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"November 14, 2017 6:00pm","November 14, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,4,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 16th Thu 5:00 PM to 6:00 PM Code Club,Code Club,,,"November 16, 2017 5:00pm","November 16, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,6,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 16th Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"November 16, 2017 6:00pm","November 16, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,2,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 21st Tue 5:00 PM to 6:00 PM Code Club,Code Club,,,"November 21, 2017 5:00pm","November 21, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 21st Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"November 21, 2017 6:00pm","November 21, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 28th Tue 5:00 PM to 6:00 PM Code Club,Code Club,,,"November 28, 2017 5:00pm","November 28, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 28th Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"November 28, 2017 6:00pm","November 28, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 30th Thu 5:00 PM to 6:00 PM Code Club,Code Club,,,"November 30, 2017 5:00pm","November 30, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Nov 30th Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"November 30, 2017 6:00pm","November 30, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Dec 5th Tue 5:00 PM to 6:00 PM Code Club,Code Club,,,"December 5, 2017 5:00pm","December 5, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Dec 5th Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"December 5, 2017 6:00pm","December 5, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Dec 7th Thu 5:00 PM to 6:00 PM Code Club,Code Club,,,"December 7, 2017 5:00pm","December 7, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Dec 7th Thu 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"December 7, 2017 6:00pm","December 7, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Dec 8th Fri 9:40 AM to 3:30 PM Hour of Code,Hour of Code,,,"December 8, 2017 9:40am","December 8, 2017 3:30pm",Milby High School,,5:50,,50,"https://maps.google.com/maps?hl=en&q=Milby+High+School+1601+Broadway+St,++Houston+Tx+77012",The Ripple Effect,"Students will be guided through and challenged with Hour of Code activities. 
 Conversations with programmers about real-life coding application lends perspective to what they're learning.",hourofcode.png (https://dl.airtable.com/qWpvsdNvRSymfFVOjqvr_hourofcode.png),"k-5th, 6th-8th, 9th-12",,,,,,,,,,,,,,"1601 Broadway St, 
Houston Tx
77012",
Dec 12th Tue 5:00 PM to 6:00 PM Code Club,Code Club,,,"December 12, 2017 5:00pm","December 12, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Dec 12th Tue 6:00 PM to 7:30 PM Creative Coding with p5js,Creative Coding with p5js,,,"December 12, 2017 6:00pm","December 12, 2017 7:30pm",Leonel Castillo Baker Ripley Community Center,,1:30,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,"Lights, music, internet! Students will be introduced to creative coding with HTML, CSS, and JavaScript.","playdoh-and-circuits.jpg (https://dl.airtable.com/KjSQDPElQTqRxavkREuf_playdoh-and-circuits.jpg), p5-sq-white-background.png (https://dl.airtable.com/QwUVUfsiSfKsEXczw5Fw_p5-sq-white-background.png)",9th-12,,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
Dec 14th Thu 5:00 PM to 6:00 PM Code Club,Code Club,,,"December 14, 2017 5:00pm","December 14, 2017 6:00pm",Leonel Castillo Baker Ripley Community Center,,1:00,,,"https://maps.google.com/maps?hl=en&q=Leonel+Castillo+Baker+Ripley+Community+Center+2101+South+St,++Houston+TX+77009",Coding and the Arts,Students are guided through learning to code. We make coding fun and engaging for each student as they work through a self-guided curriculum.,code club.png (https://dl.airtable.com/01Xe2tmTAinIYG18qAdc_code%20club.png),"6th-8th, k-5th, 9th-12, adult",,,,,,,,,,,,,,"2101 South St, 
Houston TX
77009",
